15S_RRNA	15S ribosomal RNA
21S_RRNA	21S ribosomal RNA
AAC1	ADP/ATP carrier protein AAC1
AAC3	ADP/ATP carrier protein AAC3
AAD10	putative aryl-alcohol dehydrogenase
AAD14	putative aryl-alcohol dehydrogenase
AAD15	putative aryl-alcohol dehydrogenase
AAD3	putative aryl-alcohol dehydrogenase
AAD4	putative aryl-alcohol dehydrogenase
AAD6	pseudo
AAH1	adenine deaminase
AAP1	arginine/alanine aminopeptidase
AAR2	U5 snRNP complex subunit AAR2
AAT1	aspartate transaminase AAT1
AAT2	aspartate transaminase AAT2
ABD1	mRNA (guanine-N7)-methyltransferase
ABF1	DNA-binding protein ABF1
ABF2	DNA-binding protein ABF2
ABM1	Abm1p
ABP1	Abp1p
ABP140	Abp140p
ABZ1	4-amino-4-deoxychorismate synthase
ABZ2	aminodeoxychorismate lyase ABZ2
ACA1	Aca1p
ACB1	long-chain fatty acid transporter ACB1
ACC1	acetyl-CoA carboxylase ACC1
ACE2	DNA-binding transcription factor ACE2
ACF2	Acf2p
ACF4	Acf4p
ACH1	acetyl-CoA hydrolase
ACI60_gr01	large subunit ribosomal RNA
ACI60_gr02	small subunit ribosomal RNA
ACI60_gs01	ncRNA
ACI60_gt01	tRNA
ACI60_gt02	tRNA
ACI60_gt03	tRNA
ACI60_gt04	tRNA
ACI60_gt05	tRNA
ACI60_gt06	tRNA
ACI60_gt07	tRNA
ACI60_gt08	tRNA
ACI60_gt09	tRNA
ACI60_gt10	tRNA
ACI60_gt11	tRNA
ACI60_gt12	tRNA
ACI60_gt13	tRNA
ACI60_gt14	tRNA
ACI60_gt15	tRNA
ACI60_gt16	tRNA
ACI60_gt17	tRNA
ACI60_gt18	tRNA
ACI60_gt19	tRNA
ACI60_gt20	tRNA
ACI60_gt21	tRNA
ACI60_gt22	tRNA
ACI60_gt23	tRNA
ACI60_gt24	tRNA
ACK1	Ack1p
ACL4	Acl4p
ACM1	Acm1p
ACO1	aconitate hydratase ACO1
ACO2	aconitate hydratase ACO2
ACP1	acyl carrier protein
ACS1	acetate--CoA ligase 1
ACS2	acetate--CoA ligase ACS2
ACT1	actin
ADA2	chromatin-binding transcription regulator ADA2
ADD37	Add37p
ADD66	Add66p
ADE1	phosphoribosylaminoimidazolesuccinocarboxamide synthase
ADE12	adenylosuccinate synthase
ADE13	adenylosuccinase ADE13
ADE16	bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase ADE16
ADE17	bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase ADE17
ADE2	phosphoribosylaminoimidazole carboxylase ADE2
ADE3	trifunctional formate-tetrahydrofolate ligase/methenyltetrahydrofolate cyclohydrolase/methylenetetrahydrofolate dehydrogenase ADE3
ADE4	amidophosphoribosyltransferase
ADE5,7	bifunctional aminoimidazole ribotide synthase/glycinamide ribotide synthase
ADE6	phosphoribosylformylglycinamidine synthase
ADE8	phosphoribosylglycinamide formyltransferase
ADF1	Adf1p
ADH1	alcohol dehydrogenase ADH1
ADH2	alcohol dehydrogenase ADH2
ADH3	alcohol dehydrogenase ADH3
ADH4	alcohol dehydrogenase ADH4
ADH5	alcohol dehydrogenase ADH5
ADH6	NADP-dependent alcohol dehydrogenase
ADH7	NADP-dependent alcohol dehydrogenase
ADI1	acireductone dioxygenase (Ni2+-requiring)
ADK1	adenylate kinase ADK1
ADK2	adenylate kinase ADK2
ADO1	adenosine kinase
ADP1	putative ATP-dependent permease ADP1
ADR1	DNA-binding transcription factor ADR1
ADY2	Ady2p
ADY3	Ady3p
ADY4	Ady4p
AEP1	Aep1p
AEP2	Aep2p
AEP3	Aep3p
AFB1	Afb1p
AFG1	Afg1p
AFG2	AAA family ATPase AFG2
AFG3	AAA family ATPase AFG3
AFI1	Afi1p
AFR1	Afr1p
AFT1	DNA-binding transcription factor AFT1
AFT2	Aft2p
AGA1	Aga1p
AGA2	Aga2p
AGC1	amino acid transporter AGC1
AGE1	Age1p
AGE2	Age2p
AGP1	amino acid transporter AGP1
AGP2	Agp2p
AGP3	Agp3p
AGX1	alanine--glyoxylate transaminase
AHA1	Aha1p
AHC1	Ahc1p
AHC2	Ahc2p
AHK1	Ahk1p
AHP1	thioredoxin peroxidase AHP1
AHT1	Aht1p
AI1	intron-encoded reverse transcriptase aI1
AI2	intron-encoded reverse transcriptase aI2
AI3	intron-encoded DNA endonuclease aI3
AI4	intron-encoded DNA endonuclease aI4
AI5_ALPHA	intron-encoded DNA endonuclease aI5 alpha
AI5_BETA	intron-encoded DNA endonuclease aI5 beta
AIF1	Aif1p
AIM10	putative proline--tRNA ligase AIM10
AIM11	Aim11p
AIM14	putative metalloreductase
AIM17	Aim17p
AIM18	Aim18p
AIM19	Aim19p
AIM2	protein AIM2
AIM20	Aim20p
AIM21	Aim21p
AIM22	putative lipoate--protein ligase
AIM23	Aim23p
AIM24	Aim24p
AIM25	Aim25p
AIM26	Aim26p
AIM29	Aim29p
AIM3	Aim3p
AIM32	Aim32p
AIM33	cytochrome-b5 reductase
AIM34	Aim34p
AIM36	Aim36p
AIM39	Aim39p
AIM4	Aim4p
AIM41	Aim41p
AIM44	Aim44p
AIM45	Aim45p
AIM46	Aim46p
AIM6	Aim6p
AIM7	Aim7p
AIM9	Aim9p
AIP1	Aip1p
AIR1	TRAMP complex RNA-binding subunit
AIR2	TRAMP complex RNA-binding subunit
AKL1	serine/threonine protein kinase AKL1
AKR1	palmitoyltransferase AKR1
AKR2	putative palmitoyltransferase AKR2
ALA1	alanine--tRNA ligase
ALB1	Alb1p
ALD2	aldehyde dehydrogenase (NAD(+)) ALD2
ALD3	aldehyde dehydrogenase (NAD(+)) ALD3
ALD4	aldehyde dehydrogenase (NADP(+)) ALD4
ALD5	aldehyde dehydrogenase (NAD(P)(+)) ALD5
ALD6	aldehyde dehydrogenase (NADP(+)) ALD6
ALE1	lysophospholipid acyltransferase
ALF1	Alf1p
ALG1	chitobiosyldiphosphodolichol beta-1,4 mannosyltransferase
ALG11	alpha-1,2-mannosyltransferase ALG11
ALG12	dolichyl-P-Man:Man(7)GlcNAc(2)-PP-dolichol alpha-1,6-mannosyltransferase
ALG13	N-acetylglucosaminyldiphosphodolichol N-acetylglucosaminyltransferase catalytic subunit ALG13
ALG14	N-acetylglucosaminyldiphosphodolichol N-acetylglucosaminyltransferase anchoring subunit ALG14
ALG2	GDP-Man:Man(1)GlcNAc(2)-PP-dolichol alpha-1,3-mannosyltransferase
ALG3	dolichyl-P-Man:Man(5)GlcNAc(2)-PP-dolichol alpha-1,3-mannosyltransferase
ALG5	dolichyl-phosphate beta-glucosyltransferase
ALG6	dolichyl-P-Glc:Man(9)GlcNAc(2)-PP-dolichol alpha-1,3-glucosyltransferase
ALG7	UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase
ALG8	dolichyl-P-Glc:Glc1Man(9)GlcNAc(2)-PP-dolichol alpha-1,3-glucosyltransferase
ALG9	dolichyl-P-Man:Man(6)GlcNAc(2)-PP-dolichol alpha-1,2-mannosyltransferase
ALK1	protein kinase ALK1
ALK2	protein kinase ALK2
ALO1	D-arabinono-1,4-lactone oxidase
ALP1	arginine permease ALP1
ALR1	Mg(2+) transporter ALR1
ALR2	putative Mg(2+) transporter ALR2
ALT1	alanine transaminase ALT1
ALT2	alanine transaminase ALT2
ALY1	Aly1p
ALY2	Aly2p
AMA1	Ama1p
AMD1	AMP deaminase
AMD2	putative amidase
AME1	Ame1p
AMF1	Amf1p
AMN1	Amn1p
AMS1	alpha-mannosidase
ANB1	translation elongation factor eIF-5A
ANP1	Anp1p
ANR2	Anr2p
ANS1	Ans1p
ANT1	Ant1p
ANY1	hypothetical protein
AOS1	E1 ubiquitin-activating protein AOS1
APA1	bifunctional AP-4-A phosphorylase/ADP sulfurylase
APA2	bifunctional AP-4-A phosphorylase/ADP sulfurylase
APC1	anaphase promoting complex subunit 1
APC11	anaphase promoting complex subunit 11
APC2	anaphase promoting complex subunit 2
APC4	anaphase promoting complex subunit 4
APC5	anaphase promoting complex subunit 5
APC9	anaphase promoting complex subunit 9
APD1	Apd1p
APE1	metalloaminopeptidase APE1
APE2	metallo-aminopeptidase
APE3	Ape3p
APE4	aspartyl aminopeptidase
API2	Api2p
APJ1	Apj1p
APL1	Apl1p
APL2	Apl2p
APL3	Apl3p
APL4	Apl4p
APL5	Apl5p
APL6	Apl6p
APM1	Apm1p
APM2	Apm2p
APM3	Apm3p
APM4	Apm4p
APN1	DNA-(apurinic or apyrimidinic site) lyase APN1
APN2	DNA-(apurinic or apyrimidinic site) lyase APN2
APP1	phosphatidate phosphatase APP1
APQ12	Apq12p
APS1	Aps1p
APS2	Aps2p
APS3	Aps3p
APT1	adenine phosphoribosyltransferase APT1
APT2	adenine phosphoribosyltransferase APT2
AQR1	Aqr1p
AQY1	Aqy1p
AQY2	Aqy2p
AQY3	Aqy3p
ARA1	D-arabinose 1-dehydrogenase (NAD(P)(+)) ARA1
ARA2	D-arabinose 1-dehydrogenase (NAD(P)(+)) ARA2
ARB1	ATP-binding cassette family ATPase ARB1
ARC1	Arc1p
ARC15	Arc15p
ARC18	Arc18p
ARC19	Arc19p
ARC35	Arc35p
ARC40	Arc40p
ARD1	peptide alpha-N-acetyltransferase complex A subunit ARD1
ARE1	sterol acyltransferase
ARE2	sterol acyltransferase
ARF1	Arf family GTPase ARF1
ARF2	Arf family GTPase ARF2
ARF3	Arf family GTPase ARF3
ARG1	argininosuccinate synthase
ARG2	acetyl-CoA:L-glutamate N-acetyltransferase
ARG3	ornithine carbamoyltransferase
ARG4	argininosuccinate lyase ARG4
ARG5,6	bifunctional acetylglutamate kinase/N-acetyl-gamma-glutamyl-phosphate reductase
ARG7	glutamate N-acetyltransferase
ARG8	acetylornithine transaminase
ARG80	Arg80p
ARG81	Arg81p
ARG82	inositol polyphosphate multikinase
ARH1	NADPH-adrenodoxin reductase
ARI1	carbonyl reductase (NADPH-dependent) ARI1
ARK1	serine/threonine protein kinase ARK1
ARL1	Arf family GTPase ARL1
ARL3	Arf family GTPase ARL3
ARN1	siderophore transporter
ARN2	siderophore transporter
ARO1	pentafunctional protein ARO1p
ARO10	phenylpyruvate decarboxylase ARO10
ARO2	bifunctional chorismate synthase/riboflavin reductase [NAD(P)H] ARO2
ARO3	3-deoxy-7-phosphoheptulonate synthase ARO3
ARO4	3-deoxy-7-phosphoheptulonate synthase ARO4
ARO7	chorismate mutase ARO7
ARO8	bifunctional 2-aminoadipate transaminase/aromatic-amino-acid:2-oxoglutarate transaminase
ARO80	Aro80p
ARO9	aromatic-amino-acid:2-oxoglutarate transaminase
ARP1	actin-related protein 1
ARP10	Arp10p
ARP2	actin-related protein 2
ARP3	actin-related protein 3
ARP4	Arp4p
ARP5	Arp5p
ARP6	Arp6p
ARP7	Arp7p
ARP8	Arp8p
ARP9	Arp9p
ARR1	Arr1p
ARR2	Arr2p
ARR3	Arr3p
ART10	Art10p
ART5	Art5p
ARV1	sterol homeostasis protein ARV1
ARX1	putative hydrolase
ASA1	Asa1p
ASC1	guanine nucleotide-binding protein subunit beta
ASE1	Ase1p
ASF1	nucleosome assembly factor ASF1
ASF2	Asf2p
ASG1	Asg1p
ASG7	Asg7p
ASH1	DNA-binding transcription repressor ASH1
ASI1	putative ubiquitin-protein ligase ASI1
ASI2	Asi2p
ASI3	putative ubiquitin-protein ligase ASI3
ASK1	Ask1p
ASK10	Ask10p
ASM4	FG-nucleoporin ASM4
ASN1	asparagine synthase (glutamine-hydrolyzing) 1
ASN2	asparagine synthase (glutamine-hydrolyzing) 2
ASP1	asparaginase ASP1
ASP3-1	asparaginase ASP3-1
ASP3-2	asparaginase ASP3-2
ASP3-3	asparaginase ASP3-3
ASP3-4	asparaginase ASP3-4
ASR1	ubiquitin-protein ligase ASR1
AST1	Ast1p
AST2	Ast2p
ATC1	Atc1p
ATE1	arginyltransferase
ATF1	alcohol O-acetyltransferase
ATF2	alcohol O-acetyltransferase
ATG1	serine/threonine protein kinase ATG1
ATG10	E2-like conjugating enzyme
ATG11	autophagy protein ATG11
ATG12	Atg12p
ATG13	serine/threonine protein kinase regulatory subunit ATG13
ATG14	Atg14p
ATG15	triglyceride lipase ATG15
ATG16	Atg16p
ATG17	protein kinase regulatory subunit ATG17
ATG18	phosphoinositide binding protein ATG18
ATG19	Atg19p
ATG2	Atg2p
ATG20	Atg20p
ATG21	Atg21p
ATG22	Atg22p
ATG23	Atg23p
ATG26	Atg26p
ATG27	Atg27p
ATG29	Atg29p
ATG3	Atg3p
ATG31	Atg31p
ATG32	mitophagy protein ATG32
ATG33	Atg33p
ATG34	Atg34p
