brain	987897	17252753	CRP_HUMAN	1401	CRP	29.707	36788	1267	909	4.103	1.959	4.901
cancer	3025646	17252753	CRP_HUMAN	1401	CRP	30.018	36788	3129	2370	4.495	2.375	4.369
cardiovascular	1176673	17252753	CRP_HUMAN	1401	CRP	37.155	36788	7792	6645	4.892	2.823	4.816
diabetes	471394	17252753	CRP_HUMAN	1401	CRP	37.109	36788	3673	3427	4.565	2.535	5.227
hot+or+cold+or+alkaline+condition+or+acidic+condition+or+hypersaline+or+radiation	834939	17252753	CRP_HUMAN	1401	CRP	27.948	36788	865	483	3.937	1.685	4.971
eye+or+ocular	617328	17252753	CRP_HUMAN	1401	CRP	23.01	36788	251	128	3.4	1.111	5.102
food+or+nutrition+or+nutrients	1240588	17252753	CRP_HUMAN	1401	CRP	33.091	36788	3370	2449	4.528	2.389	4.784
glycoproteins	518297	17252753	CRP_HUMAN	1401	CRP	36.413	36788	4003	2601	4.602	2.415	5.189
immune+or+immune+system	1178787	17252753	CRP_HUMAN	1401	CRP	32.803	36788	3225	2004	4.509	2.302	4.816
infectious+or+infection	1407452	17252753	CRP_HUMAN	1401	CRP	34.12	36788	6347	2406	4.803	2.381	4.749
kidney+or+urine	998160	17252753	CRP_HUMAN	1401	CRP	32.645	36788	3298	1389	4.518	2.143	4.901
liver+or+hepatic	1064899	17252753	CRP_HUMAN	1401	CRP	30.301	36788	1809	909	4.257	1.959	4.874
mitochondria	71841	17252753	CRP_HUMAN	1401	CRP	15.467	36788	20	17	2.301	0.255	6.05
rat+or+mouse	2216673	17252753	CRP_HUMAN	1401	CRP	22.32	36788	351	249	3.545	1.398	4.515
muscle+or+bone+or+musculoskeletal	2127925	17252753	CRP_HUMAN	1401	CRP	29.814	36788	2526	1307	4.402	2.117	4.573
pathology	2428237	17252753	CRP_HUMAN	1401	CRP	32.241	36788	4811	2870	4.682	2.458	4.515
pediatric+or+newborn+or+infant+or+toddler+or+child+or+adolescent	3743828	17252753	CRP_HUMAN	1401	CRP	31.101	36788	6716	2834	4.827	2.453	4.272
plasma+or+serum	1459655	17252753	CRP_HUMAN	1401	CRP	38.34	36788	15930	8609	5.202	2.935	4.712
protein+aggregation	50542	17252753	CRP_HUMAN	1401	CRP	27.325	36788	310	81	3.491	0.914	6.203
rheumatic	54651	17252753	CRP_HUMAN	1401	CRP	29.139	36788	427	123	3.63	1.093	6.169
stem+cells	182292	17252753	CRP_HUMAN	1401	CRP	23.593	36788	106	142	3.025	1.155	5.643
toxicology+or+toxic+or+toxin	497395	17252753	CRP_HUMAN	1401	CRP	27.181	36788	530	316	3.724	1.501	5.202
