brain	987897	17252753	IL6_HUMAN	3569	IL6	27.784	53611	863	849	3.936	1.929	4.737
cancer	3025646	17252753	IL6_HUMAN	3569	IL6	28.975	53611	2912	2664	4.464	2.426	4.205
cardiovascular	1176673	17252753	IL6_HUMAN	3569	IL6	29.62	53611	1719	1351	4.235	2.131	4.653
diabetes	471394	17252753	IL6_HUMAN	3569	IL6	30.041	53611	867	989	3.938	1.996	5.063
hot+or+cold+or+alkaline+condition+or+acidic+condition+or+hypersaline+or+radiation	834939	17252753	IL6_HUMAN	3569	IL6	25.623	53611	541	394	3.733	1.597	4.808
eye+or+ocular	617328	17252753	IL6_HUMAN	3569	IL6	23.321	53611	309	170	3.49	1.233	4.938
food+or+nutrition+or+nutrients	1240588	17252753	IL6_HUMAN	3569	IL6	26.867	53611	930	701	3.968	1.846	4.62
glycoproteins	518297	17252753	IL6_HUMAN	3569	IL6	34.967	53611	3962	2293	4.598	2.361	5.025
immune+or+immune+system	1178787	17252753	IL6_HUMAN	3569	IL6	33.183	53611	4126	3284	4.616	2.517	4.653
infectious+or+infection	1407452	17252753	IL6_HUMAN	3569	IL6	30.435	53611	2409	1798	4.382	2.255	4.586
kidney+or+urine	998160	17252753	IL6_HUMAN	3569	IL6	27.001	53611	981	510	3.992	1.708	4.737
liver+or+hepatic	1064899	17252753	IL6_HUMAN	3569	IL6	27.611	53611	892	814	3.95	1.911	4.711
mitochondria	71841	17252753	IL6_HUMAN	3569	IL6	22.359	53611	61	102	2.785	1.013	5.887
rat+or+mouse	2216673	17252753	IL6_HUMAN	3569	IL6	26.518	53611	998	1243	3.999	2.095	4.352
muscle+or+bone+or+musculoskeletal	2127925	17252753	IL6_HUMAN	3569	IL6	28.14	53611	1731	1390	4.238	2.143	4.41
pathology	2428237	17252753	IL6_HUMAN	3569	IL6	30.333	53611	3252	2872	4.512	2.458	4.352
pediatric+or+newborn+or+infant+or+toddler+or+child+or+adolescent	3743828	17252753	IL6_HUMAN	3569	IL6	27.016	53611	2481	1516	4.395	2.181	4.109
plasma+or+serum	1459655	17252753	IL6_HUMAN	3569	IL6	33.737	53611	6393	4096	4.806	2.612	4.548
protein+aggregation	50542	17252753	IL6_HUMAN	3569	IL6	20.855	53611	71	39	2.851	0.602	6.039
rheumatic	54651	17252753	IL6_HUMAN	3569	IL6	23.445	53611	107	74	3.029	0.875	6.005
stem+cells	182292	17252753	IL6_HUMAN	3569	IL6	30.352	53611	450	768	3.653	1.886	5.48
toxicology+or+toxic+or+toxin	497395	17252753	IL6_HUMAN	3569	IL6	29.677	53611	1109	700	4.045	1.846	5.038
