brain	987897	17252753	INS_HUMAN	3630	INS	27.034	42836	718	543	3.856	1.736	4.835
cancer	3025646	17252753	INS_HUMAN	3630	INS	28.111	42836	2508	1358	4.399	2.133	4.303
cardiovascular	1176673	17252753	INS_HUMAN	3630	INS	33.536	42836	4179	2745	4.621	2.439	4.75
diabetes	471394	17252753	INS_HUMAN	3630	INS	42.461	42836	19130	8838	5.282	2.946	5.161
hot+or+cold+or+alkaline+condition+or+acidic+condition+or+hypersaline+or+radiation	834939	17252753	INS_HUMAN	3630	INS	27.328	42836	707	526	3.849	1.722	4.905
eye+or+ocular	617328	17252753	INS_HUMAN	3630	INS	21.196	42836	253	63	3.403	0.806	5.036
food+or+nutrition+or+nutrients	1240588	17252753	INS_HUMAN	3630	INS	32.827	42836	3957	2291	4.597	2.36	4.718
glycoproteins	518297	17252753	INS_HUMAN	3630	INS	25.247	42836	422	200	3.625	1.303	5.123
immune+or+immune+system	1178787	17252753	INS_HUMAN	3630	INS	27.787	42836	1117	632	4.048	1.801	4.75
infectious+or+infection	1407452	17252753	INS_HUMAN	3630	INS	25.552	42836	828	344	3.918	1.538	4.683
kidney+or+urine	998160	17252753	INS_HUMAN	3630	INS	29.523	42836	2119	602	4.326	1.78	4.835
liver+or+hepatic	1064899	17252753	INS_HUMAN	3630	INS	32.425	42836	2899	1910	4.462	2.281	4.808
mitochondria	71841	17252753	INS_HUMAN	3630	INS	29.128	42836	186	395	3.27	1.598	5.984
rat+or+mouse	2216673	17252753	INS_HUMAN	3630	INS	27.741	42836	1672	1026	4.223	2.012	4.449
muscle+or+bone+or+musculoskeletal	2127925	17252753	INS_HUMAN	3630	INS	29.602	42836	2312	1597	4.364	2.204	4.507
pathology	2428237	17252753	INS_HUMAN	3630	INS	29.016	42836	2351	1412	4.371	2.15	4.449
pediatric+or+newborn+or+infant+or+toddler+or+child+or+adolescent	3743828	17252753	INS_HUMAN	3630	INS	30.408	42836	7263	2333	4.861	2.368	4.206
plasma+or+serum	1459655	17252753	INS_HUMAN	3630	INS	35.008	42836	10352	3315	5.015	2.521	4.646
protein+aggregation	50542	17252753	INS_HUMAN	3630	INS	22.393	42836	99	44	2.996	0.653	6.137
rheumatic	54651	17252753	INS_HUMAN	3630	INS	15.117	42836	20	14	2.301	0.176	6.103
stem+cells	182292	17252753	INS_HUMAN	3630	INS	27.191	42836	280	267	3.447	1.428	5.577
toxicology+or+toxic+or+toxin	497395	17252753	INS_HUMAN	3630	INS	25.916	42836	372	298	3.571	1.476	5.136
