03.MMHAP34FRA.seq	DNA segment, 03.MMHAP34FRA.seq
03B03F	DNA segment, 03B03F (Research Genetics)
03B03R	DNA segment, 03B03R (Research Genetics)
0610005C13Rik	RIKEN cDNA 0610005C13 gene
0610006L08Rik	RIKEN cDNA 0610006L08 gene
0610008J02Rik	RIKEN cDNA 0610008J02 gene
0610009B22Rik	RIKEN cDNA 0610009B22 gene
0610009E02Rik	RIKEN cDNA 0610009E02 gene
0610009F21Rik	RIKEN cDNA 0610009F21 gene
0610009K14Rik	RIKEN cDNA 0610009K14 gene
0610009L18Rik	RIKEN cDNA 0610009L18 gene
0610009O20Rik	RIKEN cDNA 0610009O20 gene
0610010B08Rik	RIKEN cDNA 0610010B08 gene
0610010F05Rik	RIKEN cDNA 0610010F05 gene
0610010K14Rik	RIKEN cDNA 0610010K14 gene
0610012D04Rik	RIKEN cDNA 0610012D04 gene
0610012E21Rik	RIKEN cDNA 0610012E21 gene
0610012G03Rik	RIKEN cDNA 0610012G03 gene
0610025J13Rik	RIKEN cDNA 0610025J13 gene
0610030E20Rik	RIKEN cDNA 0610030E20 gene
0610031C06Rik	RIKEN cDNA 0610031C06 gene
0610031I08Rik	RIKEN cDNA 0610031I08 gene
0610031O16Rik	RIKEN cDNA 0610031O16 gene
0610033I19Rik	RIKEN cDNA 0610033I19 gene
0610033M10Rik	RIKEN cDNA 0610033M10 gene
0610033P13Rik	RIKEN cDNA 0610033P13 gene
0610037L13Rik	RIKEN cDNA 0610037L13 gene
0610037L18Rik	RIKEN cDNA 0610037L18 gene
0610038B21Rik	RIKEN cDNA 0610038B21 gene
0610039G09Rik	RIKEN cDNA 0610039G09 gene
0610039H22Rik	RIKEN cDNA 0610039H22 gene
0610039K10Rik	RIKEN cDNA 0610039K10 gene
0610040A22Rik	RIKEN cDNA 0610040A22 gene
0610040B10Rik	RIKEN cDNA 0610040B10 gene
0610040F04Rik	RIKEN cDNA 0610040F04 gene
0610040J01Rik	RIKEN cDNA 0610040J01 gene
0610042B02Rik	RIKEN cDNA 0610042B02 gene
0610042B23Rik	RIKEN cDNA 0610042B23 gene
0610042E11Rik	RIKEN cDNA 0610042E11 gene
0610042G04Rik	RIKEN cDNA 0610042G04 gene
0610043K17Rik	RIKEN cDNA 0610043K17 gene
0710001A04Rik	RIKEN cDNA 0710001A04 gene
0710001D07Rik	RIKEN cDNA 0710001D07 gene
0710001L09Rik	RIKEN cDNA 0710001L09 gene
0710005I21Rik	RIKEN cDNA 0710005I21 gene
0710007G10Rik	RIKEN cDNA 0710007G10 gene
0710008F09Rik	RIKEN cDNA 0710008F09 gene
0910001E24Rik	RIKEN cDNA 0910001E24 gene
1010001B22Rik	RIKEN cDNA 1010001B22 gene
1010001I08Rik	RIKEN cDNA 1010001I08 gene
1010001N08Rik	RIKEN cDNA 1010001N08 gene
102g4T7	DNA segment, 102g4T7
106I22-Sp6	DNA segment, 106I22-Sp6
109F12R	DNA segment, 102F12R
10S	DNA segment, 10S
10T	DNA segment, 10T
1100001I12Rik	RIKEN cDNA 1100001I12 gene
1110001D16Rik	RIKEN cDNA 1110001D16 gene
1110001M07Rik	RIKEN cDNA 1110001M07 gene
1110002E22Rik	RIKEN cDNA 1110002E22 gene
1110002J07Rik	RIKEN cDNA 1110002J07 gene
1110002L01Rik	RIKEN cDNA 1110002L01 gene
1110002O04Rik	RIKEN cDNA 1110002O04 gene
1110003F02Rik	RIKEN cDNA 1110003F02 gene
1110003F10Rik	RIKEN cDNA 1110003F10 gene
1110004E09Rik	RIKEN cDNA 1110004E09 gene
1110004F10Rik	RIKEN cDNA 1110004F10 gene
1110004M10Rik	RIKEN cDNA 1110004M10 gene
1110006E14Rik	RIKEN cDNA 1110006E14 gene
1110006O24Rik	RIKEN cDNA 1110006O24 gene
1110007E10Rik	RIKEN cDNA 1110007E10 gene
1110008E08Rik	RIKEN cDNA 1110008E08 gene
1110008F13Rik	RIKEN cDNA 1110008F13 gene
1110008L16Rik	RIKEN cDNA 1110008L16 gene
1110008P14Rik	RIKEN cDNA 1110008P14 gene
1110012L19Rik	RIKEN cDNA 1110012L19 gene
1110013H19Rik	RIKEN cDNA 1110013H19 gene
1110013I04Rik	RIKEN cDNA 1110013I04 gene
1110014L15Rik	RIKEN cDNA 1110014L15 gene
1110015O18Rik	RIKEN cDNA 1110015O18 gene
1110017D15Rik	RIKEN cDNA 1110017D15 gene
1110018F16Rik	RIKEN cDNA 1110018F16 gene
1110018N20Rik	RIKEN cDNA 1110018N20 gene
1110019B22Rik	RIKEN cDNA 1110019B22 gene
1110019B24Rik	RIKEN cDNA 1110019B24 gene
1110019D14Rik	RIKEN cDNA 1110019D14 gene
1110020A21Rik	RIKEN cDNA 1110020A21 gene
1110020C17Rik	RIKEN cDNA 1110020C17 gene
1110021P09Rik	RIKEN cDNA 1110021P09 gene
1110025L11Rik	RIKEN cDNA 1110025L11 gene
1110025M09Rik	RIKEN cDNA 1110025M09 gene
1110028F11Rik	RIKEN cDNA 1110028F11 gene
1110028F18Rik	RIKEN cDNA 1110028F18 gene
1110032A03Rik	RIKEN cDNA 1110032A03 gene
1110032F04Rik	RIKEN cDNA 1110032F04 gene
1110032L06Rik	RIKEN cDNA 1110032L06 gene
1110034G24Rik	RIKEN cDNA 1110034G24 gene
1110034N17Rik	RIKEN cDNA 1110034N17 gene
1110035D15Rik	RIKEN cDNA 1110035D15 gene
1110035E04Rik	RIKEN cDNA 1110035E04 gene
1110035H17Rik	RIKEN cDNA 1110035H17 gene
1110036E04Rik	RIKEN cDNA 1110036E04 gene
1110037P09Rik	RIKEN cDNA 1110037P09 gene
1110038B12Rik	RIKEN cDNA 1110038B12 gene
1110038F14Rik	RIKEN cDNA 1110038F14 gene
1110046J04Rik	RIKEN cDNA 1110046J04 gene
1110050P16Rik	RIKEN cDNA 1110050P16 gene
1110051M20Rik	RIKEN cDNA 1110051M20 gene
1110055C04Rik	RIKEN cDNA 1110055C04 gene
1110057P08Rik	RIKEN cDNA 1110057P08 gene
1110058D11Rik	RIKEN cDNA 1110058D11 gene
1110059E24Rik	RIKEN cDNA 1110059E24 gene
1110059G02Rik	RIKEN cDNA 1110059G02 gene
1110059G10Rik	RIKEN cDNA 1110059G10 gene
1110060G06Rik	RIKEN cDNA 1110060G06 gene
1110064A23Rik	RIKEN cDNA 1110064A23 gene
1110065F06Rik	RIKEN cDNA 1110065F06 gene
1110065H08Rik	RIKEN cDNA 1110065H08 gene
1110065P20Rik	RIKEN cDNA 1110065P20 gene
116m19Sp6	DNA segment, 116m19Sp6
116m19T7	DNA segment, 116m19T7
1190001L17Rik	RIKEN cDNA 1190001L17 gene
1190001M18Rik	RIKEN cDNA 1190001M18 gene
1190002N15Rik	RIKEN cDNA 1190002N15 gene
1190005I06Rik	RIKEN cDNA 1190005I06 gene
1190007I07Rik	RIKEN cDNA 1190007I07 gene
1190028D05Rik	RIKEN cDNA 1190028D05 gene
119L04F	DNA segment, 119L04F (Research Genetics)
119L04aR	DNA segment, 119L04aR (Research Genetics)
11S	DNA segment, 11S
11T	DNA segment, 11T
1200003I10Rik	RIKEN cDNA 1200003I10 gene
1200007C13Rik	RIKEN cDNA 1200007C13 gene
1200009P19Rik	RIKEN cDNA 1200009P19 gene
1200015M12Rik	RIKEN cDNA 1200015M12 gene
121D10L	DNA segment, 121D10L
12T	DNA segment, 12T
13.MMHAP42FLE1	DNA segment, 13.MMHAP42FLE1
1300002E11Rik	RIKEN cDNA 1300002E11 gene
1300014J16Rik	RIKEN cDNA 1300014J16 gene
1300017J02Rik	RIKEN cDNA 1300017J02 gene
130004C03	-
133J02F	DNA segment, 133J02F (Research Genetics)
133J02R	DNA segment, 133J02R (Research Genetics)
137h23T7	DNA segment, 137h23T7
138d12-Sp6	DNA segment, 138d12-Sp6
14c5Sp6	DNA segment, 14c5Sp6
